q	phi	n_nr	rank_minus1	is_max	V_minus1	argmax_m	V_argmax	margin
2339	2338	1169	1	1	28208.050230	1169	28208.050230	1605.992659
2347	2346	1173	1	1	28336.767650	1173	28336.767650	1530.171987
2351	2350	1175	1	1	28388.652205	1175	28388.652205	2334.191609
2371	2370	1185	1	1	28678.622354	1185	28678.622354	1550.001743
2383	2382	1191	1	1	28826.567032	1191	28826.567032	1551.878818
2399	2398	1199	1	1	29039.432596	1199	29039.432596	2266.771058
2411	2410	1205	1	1	29242.534437	1205	29242.534437	1670.808853
2423	2422	1211	1	1	29419.618276	1211	29419.618276	1797.489614
2447	2446	1223	1	1	29750.529499	1223	29750.529499	1823.399806
2459	2458	1229	1	1	29907.402365	1229	29907.402365	1704.017522
2467	2466	1233	1	1	30051.738117	1233	30051.738117	1615.842024
2503	2502	1251	1	1	30551.011963	1251	30551.011963	1609.284010
2531	2530	1265	1	1	30934.717048	1265	30934.717048	1745.060836
2543	2542	1271	1	1	31084.965607	1271	31084.965607	1875.482000
2539	2538	1269	1	1	31072.090780	1269	31072.090780	1647.202898
2551	2550	1275	1	1	31236.512454	1275	31236.512454	1676.413133
2579	2578	1289	1	1	31629.504768	1289	31629.504768	1795.466680
2591	2590	1295	1	1	31793.566397	1295	31793.566397	2128.780440
2647	2646	1323	1	1	32593.058072	1323	32593.058072	1719.934339
2659	2658	1329	1	1	32768.915425	1329	32768.915425	1735.779577
2663	2662	1331	1	1	32827.990750	1331	32827.990750	1962.463673
2671	2670	1335	1	1	32934.812587	1335	32934.812587	1738.107283
2683	2682	1341	1	1	33106.099763	1341	33106.099763	1732.618984
2687	2686	1343	1	1	33164.950491	1343	33164.950491	1971.864788
2699	2698	1349	1	1	33325.734468	1349	33325.734468	1859.547876
2707	2706	1353	1	1	33471.867508	1353	33471.867508	1765.667398
2711	2710	1355	1	1	33508.521216	1355	33508.521216	2250.390329
2719	2718	1359	1	1	33645.295572	1359	33645.295572	1781.980395
2731	2730	1365	1	1	33807.454424	1365	33807.454424	1779.360462
2767	2766	1383	1	1	34307.974311	1383	34307.974311	1810.418546
2791	2790	1395	1	1	34667.214047	1395	34667.214047	1816.588259
2803	2802	1401	1	1	34819.878490	1401	34819.878490	1832.676857
2819	2818	1409	1	1	35057.692882	1409	35057.692882	1944.508255
2843	2842	1421	1	1	35418.671880	1421	35418.671880	1965.662296
2851	2850	1425	1	1	35538.704401	1425	35538.704401	1847.418361
2879	2878	1439	1	1	35942.270884	1439	35942.270884	2382.461939
2887	2886	1443	1	1	36047.063459	1443	36047.063459	1878.751199
2903	2902	1451	1	1	36266.708140	1451	36266.708140	2152.822848
2927	2926	1463	1	1	36624.593462	1463	36624.593462	2134.631000
2939	2938	1469	1	1	36798.354553	1469	36798.354553	2026.240057
2963	2962	1481	1	1	37146.461361	1481	37146.461361	2053.663498
2971	2970	1485	1	1	37271.797490	1485	37271.797490	1942.713764
2999	2998	1499	1	1	37673.186908	1499	37673.186908	3155.222423
3011	3010	1505	1	1	37869.233237	1505	37869.233237	2085.066390
3019	3018	1509	1	1	37985.038344	1509	37985.038344	1989.260832
3023	3022	1511	1	1	38010.364645	1511	38010.364645	2229.102367
3067	3066	1533	1	1	38691.035802	1533	38691.035802	2024.701867
3079	3078	1539	1	1	38858.425723	1539	38858.425723	1989.959845
3083	3082	1541	1	1	38907.504541	1541	38907.504541	2135.313798
3119	3118	1559	1	1	39435.882669	1559	39435.882669	2584.649663
3163	3162	1581	1	1	40069.087150	1581	40069.087150	2063.020184
3167	3166	1583	1	1	40149.405880	1583	40149.405880	2358.977146
3187	3186	1593	1	1	40451.068432	1593	40451.068432	2103.330451
3191	3190	1595	1	1	40496.664559	1595	40496.664559	3027.730817
3203	3202	1601	1	1	40662.387680	1601	40662.387680	2217.772210
3251	3250	1625	1	1	41373.291513	1625	41373.291513	2224.538247
3259	3258	1629	1	1	41488.324977	1629	41488.324977	2124.380876
3271	3270	1635	1	1	41669.222222	1635	41669.222222	2130.514478
3299	3298	1649	1	1	42067.273590	1649	42067.273590	2278.724937
3307	3306	1653	1	1	42186.118632	1653	42186.118632	2149.888269
3319	3318	1659	1	1	42393.066342	1659	42393.066342	2173.862163
3323	3322	1661	1	1	42442.668834	1661	42442.668834	2315.109736
3331	3330	1665	1	1	42585.667675	1665	42585.667675	2181.472388
3343	3342	1671	1	1	42729.755497	1671	42729.755497	2169.646489
3347	3346	1673	1	1	42787.239457	1673	42787.239457	2306.335455
3359	3358	1679	1	1	42949.622517	1679	42949.622517	3183.342996
3371	3370	1685	1	1	43139.831362	1685	43139.831362	2307.831218
3391	3390	1695	1	1	43452.125497	1695	43452.125497	2224.236756
3407	3406	1703	1	1	43677.851131	1703	43677.851131	2535.885662
3463	3462	1731	1	1	44506.721362	1731	44506.721362	2235.595842
3467	3466	1733	1	1	44566.962962	1733	44566.962962	2387.501631
3491	3490	1745	1	1	44907.070169	1745	44907.070169	2409.232775
3499	3498	1749	1	1	45050.824866	1749	45050.824866	2264.347931
3511	3510	1755	1	1	45221.788606	1755	45221.788606	2281.339413
3527	3526	1763	1	1	45463.227070	1763	45463.227070	2627.588608
3539	3538	1769	1	1	45617.005200	1769	45617.005200	2420.605456
3547	3546	1773	1	1	45749.851941	1773	45749.851941	2313.081888
3559	3558	1779	1	1	45922.555322	1779	45922.555322	2299.392487
3571	3570	1785	1	1	46116.070434	1785	46116.070434	2308.250563
3583	3582	1791	1	1	46288.782724	1791	46288.782724	2316.976489
3607	3606	1803	1	1	46671.554781	1803	46671.554781	2366.097782
3623	3622	1811	1	1	46876.087536	1811	46876.087536	2688.144245
3631	3630	1815	1	1	47014.652699	1815	47014.652699	2375.061000
3643	3642	1821	1	1	47181.438885	1821	47181.438885	2379.478839
3659	3658	1829	1	1	47432.375353	1829	47432.375353	2527.496946
3671	3670	1835	1	1	47614.786343	1835	47614.786343	3643.936285
3691	3690	1845	1	1	47906.591758	1845	47906.591758	2409.491403
3719	3718	1859	1	1	48318.129528	1859	48318.129528	3083.414693
3727	3726	1863	1	1	48446.354094	1863	48446.354094	2417.319905
3739	3738	1869	1	1	48652.437446	1869	48652.437446	2457.779008
3767	3766	1883	1	1	49039.853174	1883	49039.853174	2778.896630
3779	3778	1889	1	1	49205.110476	1889	49205.110476	2603.523982
3803	3802	1901	1	1	49577.065556	1901	49577.065556	2629.283453
3823	3822	1911	1	1	49894.927950	1911	49894.927950	2476.032959
3847	3846	1923	1	1	50256.190155	1923	50256.190155	2509.046723
3851	3850	1925	1	1	50295.302408	1925	50295.302408	2652.462727
3863	3862	1931	1	1	50483.958613	1931	50483.958613	2869.511239
3907	3906	1953	1	1	51147.199242	1953	51147.199242	2538.927543
3911	3910	1955	1	1	51207.767611	1955	51207.767611	3878.484656
3919	3918	1959	1	1	51332.573182	1959	51332.573182	2544.827631
3923	3922	1961	1	1	51403.310631	1961	51403.310631	2721.380907
3931	3930	1965	1	1	51522.347780	1965	51522.347780	2538.720171
3943	3942	1971	1	1	51695.887319	1971	51695.887319	2575.941642
3947	3946	1973	1	1	51771.204466	1973	51771.204466	2744.560734
3967	3966	1983	1	1	52086.085244	1983	52086.085244	2606.803833
4003	4002	2001	1	1	52604.496616	2001	52604.496616	2598.873549
4007	4006	2003	1	1	52650.115576	2003	52650.115576	2969.538884
4019	4018	2009	1	1	52844.775859	2009	52844.775859	2767.311273
4027	4026	2013	1	1	52987.463573	2013	52987.463573	2635.372580
4051	4050	2025	1	1	53360.333895	2025	53360.333895	2669.586504
4079	4078	2039	1	1	53769.320886	2039	53769.320886	3875.050424
4091	4090	2045	1	1	53952.864668	2045	53952.864668	2825.135821
4099	4098	2049	1	1	54062.320657	2049	54062.320657	2678.675746
4111	4110	2055	1	1	54266.115943	2055	54266.115943	2677.858758
4127	4126	2063	1	1	54493.897116	2063	54493.897116	3061.754554
4139	4138	2069	1	1	54664.534896	2069	54664.534896	2870.686978
4159	4158	2079	1	1	55002.076797	2079	55002.076797	2742.809181
4211	4210	2105	1	1	55765.097345	2105	55765.097345	2915.257778
4219	4218	2109	1	1	55902.626873	2109	55902.626873	2752.419268
4231	4230	2115	1	1	56091.174329	2115	56091.174329	2776.294378
4243	4242	2121	1	1	56267.053532	2121	56267.053532	2771.789464
4259	4258	2129	1	1	56500.730146	2129	56500.730146	2922.600802
4271	4270	2135	1	1	56669.414180	2135	56669.414180	3536.042375
4283	4282	2141	1	1	56873.947812	2141	56873.947812	2967.857349
4327	4326	2163	1	1	57532.772056	2163	57532.772056	2826.320718
4339	4338	2169	1	1	57733.990272	2169	57733.990272	2834.732330
4363	4362	2181	1	1	58095.757269	2181	58095.757269	2830.494202
4391	4390	2195	1	1	58489.943851	2195	58489.943851	3647.930492
4423	4422	2211	1	1	59003.041953	2211	59003.041953	2876.622149
4447	4446	2223	1	1	59385.119286	2223	59385.119286	2921.947243
4451	4450	2225	1	1	59443.949004	2225	59443.949004	3079.585768
4463	4462	2231	1	1	59635.264033	2231	59635.264033	3316.937018
4483	4482	2241	1	1	59943.690907	2241	59943.690907	2924.797763
4507	4506	2253	1	1	60324.230686	2253	60324.230686	2966.441666
4519	4518	2259	1	1	60477.554794	2259	60477.554794	2944.222475
4523	4522	2261	1	1	60543.075388	2261	60543.075388	3122.183614
4547	4546	2273	1	1	60916.898123	2273	60916.898123	3136.764030
4567	4566	2283	1	1	61228.258009	2283	61228.258009	2984.505310
4583	4582	2291	1	1	61480.461214	2291	61480.461214	3391.329616
4591	4590	2295	1	1	61613.870916	2295	61613.870916	2986.842491
4603	4602	2301	1	1	61778.617056	2301	61778.617056	2998.904618
4639	4638	2319	1	1	62354.715967	2319	62354.715967	3039.007249
4643	4642	2321	1	1	62394.210964	2321	62394.210964	3212.967659
4651	4650	2325	1	1	62514.349251	2325	62514.349251	3040.505611
4663	4662	2331	1	1	62706.359313	2331	62706.359313	3018.671299
4679	4678	2339	1	1	62945.530691	2339	62945.530691	4444.061587
4691	4690	2345	1	1	63140.417014	2345	63140.417014	3249.256044
4703	4702	2351	1	1	63313.825348	2351	63313.825348	3480.371357
4723	4722	2361	1	1	63641.432102	2361	63641.432102	3086.863384
4751	4750	2375	1	1	64067.289718	2375	64067.289718	4705.902103
4759	4758	2379	1	1	64182.864444	2379	64182.864444	3102.169645
4783	4782	2391	1	1	64568.544087	2391	64568.544087	3129.196689
4787	4786	2393	1	1	64624.075619	2393	64624.075619	3298.353664
4799	4798	2399	1	1	64820.433441	2399	64820.433441	3989.316077
4831	4830	2415	1	1	65317.805245	2415	65317.805245	3145.441962
4871	4870	2435	1	1	65923.370738	2435	65923.370738	4610.728260
4903	4902	2451	1	1	66423.284268	2451	66423.284268	3199.294786
4919	4918	2459	1	1	66650.607125	2459	66650.607125	4855.410934
4931	4930	2465	1	1	66852.642653	2465	66852.642653	3391.789094
4943	4942	2471	1	1	67035.087447	2471	67035.087447	3663.394951
4951	4950	2475	1	1	67198.743800	2475	67198.743800	3234.383033
4967	4966	2483	1	1	67424.814535	2483	67424.814535	3661.918187
4987	4986	2493	1	1	67740.631637	2493	67740.631637	3276.106850
4999	4998	2499	1	1	67899.226583	2499	67899.226583	3255.674378
5003	5002	2501	1	1	67972.100369	2501	67972.100369	3475.584480
5011	5010	2505	1	1	68103.585918	2505	68103.585918	3274.916781
5023	5022	2511	1	1	68295.991124	2511	68295.991124	3289.832529
5039	5038	2519	1	1	68522.588242	2519	68522.588242	4783.842121
5051	5050	2525	1	1	68712.173374	2525	68712.173374	3494.847230
5059	5058	2529	1	1	68859.900530	2529	68859.900530	3276.146246
5087	5086	2543	1	1	69300.259799	2543	69300.259799	3778.755671
5099	5098	2549	1	1	69493.972656	2549	69493.972656	3504.649146
5107	5106	2553	1	1	69600.392136	2553	69600.392136	3321.747219
5119	5118	2559	1	1	69790.969629	2559	69790.969629	3314.326937
5147	5146	2573	1	1	70244.333846	2573	70244.333846	3566.336397
5167	5166	2583	1	1	70574.675334	2583	70574.675334	3383.573191
5171	5170	2585	1	1	70586.884448	2585	70586.884448	3566.298803
5179	5178	2589	1	1	70736.611052	2589	70736.611052	3389.552126
5227	5226	2613	1	1	71516.729300	2613	71516.729300	3423.486275
5231	5230	2615	1	1	71515.966486	2615	71515.966486	4335.383916
5279	5278	2639	1	1	72288.753119	2639	72288.753119	4375.723163
5303	5302	2651	1	1	72675.775869	2651	72675.775869	3948.571852
5323	5322	2661	1	1	72997.432780	2661	72997.432780	3470.887376
5347	5346	2673	1	1	73369.340563	2673	73369.340563	3488.506838
5351	5350	2675	1	1	73430.767838	2675	73430.767838	5074.791686
5387	5386	2693	1	1	73995.895473	2693	73995.895473	3719.321145
5399	5398	2699	1	1	74173.389396	2699	74173.389396	4474.418528
5407	5406	2703	1	1	74314.576560	2703	74314.576560	3533.973076
5419	5418	2709	1	1	74528.472555	2709	74528.472555	3537.200852
5431	5430	2715	1	1	74698.609344	2715	74698.609344	3562.080489
5443	5442	2721	1	1	74875.892751	2721	74875.892751	3555.243875
5471	5470	2735	1	1	75338.072314	2735	75338.072314	4536.164357
5479	5478	2739	1	1	75472.796817	2739	75472.796817	3599.996393
5483	5482	2741	1	1	75517.043215	2741	75517.043215	3799.399719
5503	5502	2751	1	1	75825.667208	2751	75825.667208	3604.163383
5507	5506	2753	1	1	75903.743344	2753	75903.743344	3829.846425
5519	5518	2759	1	1	76083.151571	2759	76083.151571	5470.567355
5527	5526	2763	1	1	76204.489071	2763	76204.489071	3594.857062
5531	5530	2765	1	1	76268.735610	2765	76268.735610	3828.019614
5563	5562	2781	1	1	76776.137467	2781	76776.137467	3605.660858
5591	5590	2795	1	1	77215.315638	2795	77215.315638	5308.677717
5623	5622	2811	1	1	77723.801623	2811	77723.801623	3680.573105
5639	5638	2819	1	1	77959.800876	2819	77959.800876	4675.041710
5647	5646	2823	1	1	78113.530204	2823	78113.530204	3693.792960
