q	x	minus_one_rank	minus_one_tie_size	leaders	D_minus_one
11	1445259	5	1	6	0
11	1659302	4	1	6	-43
11	1737475	4	1	7	-34
11	1819331	4	1	8	-13
11	1905044	4	1	7	-4
11	2088774	5	1	7	-18
11	2187180	4	1	8	4
11	2290223	3	1	7	-7
11	2398120	5	1	7	-6
11	2511101	4	1	7	-7
11	2629405	2	1	7	3
11	2753282	5	1	8	13
11	2882995	4	1	7	16
11	3018819	3	1	6	55
11	3161042	4	2	6	11
11	3629192	4	1	8	65
11	3800171	3	1	8	61
11	4166674	2	1	6	21
11	4568524	1	1	10	45
11	5245122	3	1	8	63
11	5492231	3	1	6	97
11	5750982	2	1	6	127
11	6021923	1	1	10	113
11	6305629	2	1	6	74
11	6602701	1	1	10	112
11	7239491	2	1	2	99
11	7580560	4	1	2	57
11	7937696	4	1	6	38
11	8311658	2	1	2	89
11	8703239	2	1	7	121
11	9113267	1	1	10	108
11	9542613	5	1	7	77
11	9992186	4	1	2	83
11	10462940	2	1	8	95
11	10955872	1	1	10	147
11	12012499	2	1	6	169
11	13171031	1	1	10	200
11	15121658	3	1	6	97
11	15834073	2	1	6	121
11	16580050	3	1	6	67
11	17361172	3	1	2	151
11	18179095	1	1	10	172
11	19035552	2	1	6	109
11	19932358	3	1	6	142
11	20871415	1	1	10	231
11	22884336	3	1	7	110
11	23962467	1	1	10	121
11	25091391	2	1	8	171
11	26273501	5	1	2,8	84
11	27511303	4	2	2	-39
11	28807420	2	1	2	-44
11	30164600	3	1	7	0
11	31585720	2	1	2	-13
11	33073793	3	1	2	-95
11	39760958	4	1	2	102
11	41634183	5	1	2	30
11	43595660	4	1	2	-19
11	47800197	5	1	8	72
11	52410235	4	1	8	102
11	54879395	3	1	8	96
11	57464883	2	1	8	156
11	60172178	5	1	7	43
11	63007021	4	1	8	88
11	65975419	3	1	2	21
11	69083665	4	1	2	65
11	72338346	3	1	2	203
11	75746363	4	1	7	118
11	79314940	2	1	7	165
11	83051639	4	1	7	33
11	91061464	3	1	7	82
11	95351568	2	1	7	240
