q	a	window	K_zeros_per_character	n_points	correlation	rmse	endpoint_error
19	2	x_ge_1e13	10	78	0.876909042	1.99457291	3.25005156
19	2	x_ge_1e13	25	78	0.939620992	1.47038171	1.01873123
19	2	top_decade	1	53	0.57455926	3.38140034	5.82798069
19	2	top_decade	3	53	0.709270565	2.92377856	5.54507543
19	2	top_decade	10	53	0.89639376	1.85729385	3.25005156
19	2	top_decade	25	53	0.943444953	1.42303619	1.01873123
19	3	full	1	438	0.710399884	3.61656416	1.13800034
19	3	full	3	438	0.835775597	2.9146936	0.781509326
19	3	full	10	438	0.928017867	2.15827063	1.22800363
19	3	full	25	438	0.956606708	1.85133296	0.684060469
19	3	x_ge_1e10	1	234	0.685853396	3.63991439	1.13800034
19	3	x_ge_1e10	3	234	0.806024169	2.99363581	0.781509326
19	3	x_ge_1e10	10	234	0.924710723	2.04147136	1.22800363
19	3	x_ge_1e10	25	234	0.957934266	1.65953314	0.684060469
19	3	x_ge_1e13	1	78	0.765563575	3.55081869	1.13800034
19	3	x_ge_1e13	3	78	0.808769049	3.17593764	0.781509326
19	3	x_ge_1e13	10	78	0.935191276	2.02447915	1.22800363
19	3	x_ge_1e13	25	78	0.967795092	1.56646854	0.684060469
19	3	top_decade	1	53	0.838951313	3.16217135	1.13800034
19	3	top_decade	3	53	0.877941333	2.72005368	0.781509326
19	3	top_decade	10	53	0.954244015	1.81172043	1.22800363
19	3	top_decade	25	53	0.9710903	1.5385361	0.684060469
19	8	full	1	438	0.671199852	3.27911044	0.163430016
19	8	full	3	438	0.789788283	2.73294644	0.0714764979
19	8	full	10	438	0.921201964	1.77571237	-0.117389773
19	8	full	25	438	0.948755053	1.47586173	-0.442863043
19	8	x_ge_1e10	1	234	0.483156241	3.43845643	0.163430016
19	8	x_ge_1e10	3	234	0.715100067	2.76241851	0.0714764979
19	8	x_ge_1e10	10	234	0.901023987	1.7476834	-0.117389773
19	8	x_ge_1e10	25	234	0.936121399	1.44265127	-0.442863043
19	8	x_ge_1e13	1	78	0.304110794	3.7776804	0.163430016
19	8	x_ge_1e13	3	78	0.721650356	2.74543493	0.0714764979
19	8	x_ge_1e13	10	78	0.887456574	1.85934985	-0.117389773
19	8	x_ge_1e13	25	78	0.923740871	1.57149489	-0.442863043
19	8	top_decade	1	53	0.195043064	3.9630766	0.163430016
19	8	top_decade	3	53	0.756925987	2.63827879	0.0714764979
19	8	top_decade	10	53	0.897559032	1.8086923	-0.117389773
19	8	top_decade	25	53	0.931531753	1.51152442	-0.442863043
19	10	full	1	438	0.740242492	3.29386286	1.70917454
19	10	full	3	438	0.831609602	2.76964342	1.77699377
19	10	full	10	438	0.917164585	2.08509119	0.666006098
19	10	full	25	438	0.954637544	1.67942392	0.499564234
19	10	x_ge_1e10	1	234	0.688681689	3.03077931	1.70917454
19	10	x_ge_1e10	3	234	0.801041794	2.52350165	1.77699377
19	10	x_ge_1e10	10	234	0.898032499	1.90780585	0.666006098
19	10	x_ge_1e10	25	234	0.94695529	1.48450575	0.499564234
19	10	x_ge_1e13	1	78	0.694423209	2.97515305	1.70917454
19	10	x_ge_1e13	3	78	0.795439935	2.54446386	1.77699377
19	10	x_ge_1e13	10	78	0.907472354	1.83365037	0.666006098
19	10	x_ge_1e13	25	78	0.954153606	1.4380714	0.499564234
19	10	top_decade	1	53	0.469428272	2.75215693	1.70917454
19	10	top_decade	3	53	0.715464346	2.27670409	1.77699377
19	10	top_decade	10	53	0.853404291	1.74039344	0.666006098
19	10	top_decade	25	53	0.922666386	1.40914968	0.499564234
19	12	full	1	438	0.782640394	2.98022885	4.51549553
19	12	full	3	438	0.857762731	2.46636172	3.61489104
19	12	full	10	438	0.930531349	1.76904627	1.4896406
19	12	full	25	438	0.958704834	1.38803392	-0.197535281
19	12	x_ge_1e10	1	234	0.744136585	2.98664026	4.51549553
19	12	x_ge_1e10	3	234	0.854599146	2.31911358	3.61489104
19	12	x_ge_1e10	10	234	0.930685644	1.64168051	1.4896406
19	12	x_ge_1e10	25	234	0.951862579	1.3838585	-0.197535281
19	12	x_ge_1e13	1	78	0.814040744	2.76230029	4.51549553
19	12	x_ge_1e13	3	78	0.874071189	2.31268205	3.61489104
19	12	x_ge_1e13	10	78	0.934771719	1.70653699	1.4896406
19	12	x_ge_1e13	25	78	0.956334355	1.41944824	-0.197535281
19	12	top_decade	1	53	0.805406573	2.84655331	4.51549553
19	12	top_decade	3	53	0.891654857	2.17157303	3.61489104
19	12	top_decade	10	53	0.934373354	1.70757727	1.4896406
19	12	top_decade	25	53	0.961855771	1.32251416	-0.197535281
19	13	full	1	438	0.711835319	3.35190482	1.60744056
19	13	full	3	438	0.806970275	2.87218999	1.11145172
19	13	full	10	438	0.911624522	2.11545328	-0.444800296
19	13	full	25	438	0.953208998	1.69755273	0.175637972
19	13	x_ge_1e10	1	234	0.586295697	3.32676582	1.60744056
19	13	x_ge_1e10	3	234	0.761615508	2.68945931	1.11145172
19	13	x_ge_1e10	10	234	0.899701706	1.87444904	-0.444800296
19	13	x_ge_1e10	25	234	0.950565617	1.42673057	0.175637972
19	13	x_ge_1e13	1	78	0.549822112	2.97131004	1.60744056
19	13	x_ge_1e13	3	78	0.758989067	2.32615704	1.11145172
19	13	x_ge_1e13	10	78	0.86216755	1.84272356	-0.444800296
19	13	x_ge_1e13	25	78	0.944506942	1.25613158	0.175637972
19	13	top_decade	1	53	0.675711776	2.95612198	1.60744056
19	13	top_decade	3	53	0.832376012	2.1480359	1.11145172
19	13	top_decade	10	53	0.910800056	1.63455337	-0.444800296
19	13	top_decade	25	53	0.951655324	1.25664036	0.175637972
19	14	full	1	438	0.803179085	3.44392333	7.19312897
19	14	full	3	438	0.881275342	2.73863788	6.22589127
19	14	full	10	438	0.952509101	1.78341144	3.12150078
19	14	full	25	438	0.973537018	1.36203781	1.43938036
19	14	x_ge_1e10	1	234	0.765307845	3.62232538	7.19312897
19	14	x_ge_1e10	3	234	0.869038068	2.77300084	6.22589127
19	14	x_ge_1e10	10	234	0.954597418	1.68900781	3.12150078
19	14	x_ge_1e10	25	234	0.973589429	1.31709717	1.43938036
19	14	x_ge_1e13	1	78	0.761346383	3.87242567	7.19312897
19	14	x_ge_1e13	3	78	0.883669178	2.64619111	6.22589127
19	14	x_ge_1e13	10	78	0.94596386	1.85203813	3.12150078
19	14	x_ge_1e13	25	78	0.963815142	1.54891776	1.43938036
19	14	top_decade	1	53	0.605944754	4.35325316	7.19312897
19	14	top_decade	3	53	0.824981609	2.91750518	6.22589127
19	14	top_decade	10	53	0.931271647	1.88947237	3.12150078
19	14	top_decade	25	53	0.953214642	1.5892018	1.43938036
19	15	full	1	438	0.599437184	3.38617291	4.94678101
19	15	full	3	438	0.750424605	2.80348365	3.92834816
19	15	full	10	438	0.896777189	1.89156617	0.798125339
19	15	full	25	438	0.94888065	1.37363113	0.0315708842
19	15	x_ge_1e10	1	234	0.55460039	3.30910642	4.94678101
19	15	x_ge_1e10	3	234	0.73474316	2.69964119	3.92834816
19	15	x_ge_1e10	10	234	0.893102439	1.80067583	0.798125339
19	15	x_ge_1e10	25	234	0.951402657	1.25770295	0.0315708842
19	15	x_ge_1e13	1	78	0.477414266	2.82931023	4.94678101
19	15	x_ge_1e13	3	78	0.560628748	2.66320432	3.92834816
19	15	x_ge_1e13	10	78	0.837959891	1.77065535	0.798125339
19	15	x_ge_1e13	25	78	0.937873582	1.15080468	0.0315708842
19	15	top_decade	1	53	0.518356731	2.84143503	4.94678101
19	15	top_decade	3	53	0.610737958	2.6372729	3.92834816
19	15	top_decade	10	53	0.848445234	1.79088955	0.798125339
19	15	top_decade	25	53	0.935091075	1.21849117	0.0315708842
19	18	full	1	438	0.758409102	3.49202911	2.6407938
19	18	full	3	438	0.8573805	2.83957497	2.15935895
19	18	full	10	438	0.936990214	2.07394522	-1.08735947
19	18	full	25	438	0.960273358	1.77182993	-1.72982518
19	18	x_ge_1e10	1	234	0.702556015	3.50794374	2.6407938
19	18	x_ge_1e10	3	234	0.835875448	2.74384663	2.15935895
19	18	x_ge_1e10	10	234	0.924879879	1.99445482	-1.08735947
19	18	x_ge_1e10	25	234	0.954634184	1.64370194	-1.72982518
19	18	x_ge_1e13	1	78	0.732059587	3.73788338	2.6407938
19	18	x_ge_1e13	3	78	0.872195663	2.78106829	2.15935895
19	18	x_ge_1e13	10	78	0.943192706	2.05580324	-1.08735947
19	18	x_ge_1e13	25	78	0.963425564	1.78254484	-1.72982518
19	18	top_decade	1	53	0.751382282	3.96027888	2.6407938
19	18	top_decade	3	53	0.896145574	2.77743851	2.15935895
19	18	top_decade	10	53	0.959357673	1.96118904	-1.08735947
19	18	top_decade	25	53	0.971455692	1.74492038	-1.72982518
23	5	full	1	438	0.842203177	3.59705514	-3.77049474
23	5	full	3	438	0.914125409	2.70539198	-1.45569274
23	5	full	10	438	0.95954513	1.88921266	-2.36426793
23	5	full	25	438	0.976359445	1.45779692	-1.01532192
23	5	x_ge_1e10	1	234	0.782989992	3.69254322	-3.77049474
23	5	x_ge_1e10	3	234	0.88907907	2.71498895	-1.45569274
23	5	x_ge_1e10	10	234	0.952414295	1.81733371	-2.36426793
23	5	x_ge_1e10	25	234	0.975289194	1.32254265	-1.01532192
23	5	x_ge_1e13	1	78	0.657408066	3.65484938	-3.77049474
23	5	x_ge_1e13	3	78	0.842744153	2.59286043	-1.45569274
23	5	x_ge_1e13	10	78	0.926984177	1.81429756	-2.36426793
23	5	x_ge_1e13	25	78	0.963844659	1.2944657	-1.01532192
23	5	top_decade	1	53	0.36081286	3.34525934	-3.77049474
23	5	top_decade	3	53	0.578446439	2.70283311	-1.45569274
23	5	top_decade	10	53	0.832066949	1.85502341	-2.36426793
23	5	top_decade	25	53	0.917103013	1.37014972	-1.01532192
23	7	full	1	438	0.72008464	3.84171462	-2.45005913
23	7	full	3	438	0.884197376	2.59837221	-2.21329948
23	7	full	10	438	0.940501121	1.9090262	-2.68548654
23	7	full	25	438	0.962278404	1.54088372	-1.59867348
23	7	x_ge_1e10	1	234	0.616497466	3.92437659	-2.45005913
23	7	x_ge_1e10	3	234	0.85647085	2.57770965	-2.21329948
23	7	x_ge_1e10	10	234	0.929147293	1.85593859	-2.68548654
23	7	x_ge_1e10	25	234	0.957545894	1.45580802	-1.59867348
23	7	x_ge_1e13	1	78	0.518773981	4.01310796	-2.45005913
23	7	x_ge_1e13	3	78	0.762123682	2.92109535	-2.21329948
23	7	x_ge_1e13	10	78	0.920322386	1.79902793	-2.68548654
23	7	x_ge_1e13	25	78	0.946744658	1.49067783	-1.59867348
23	7	top_decade	1	53	0.541220954	3.50159266	-2.45005913
23	7	top_decade	3	53	0.633521995	3.05054243	-2.21329948
23	7	top_decade	10	53	0.881081843	1.84991379	-2.68548654
23	7	top_decade	25	53	0.926041441	1.52194595	-1.59867348
23	10	full	1	438	0.764320972	3.81538541	-3.40924948
23	10	full	3	438	0.880726436	2.80197005	-0.252613224
23	10	full	10	438	0.942223505	1.99339828	-4.39821006
23	10	full	25	438	0.966294639	1.5347045	-2.25471559
23	10	x_ge_1e10	1	234	0.70667839	3.95737026	-3.40924948
23	10	x_ge_1e10	3	234	0.850048886	2.94301593	-0.252613224
23	10	x_ge_1e10	10	234	0.923729349	2.14628521	-4.39821006
23	10	x_ge_1e10	25	234	0.961160895	1.54749137	-2.25471559
23	10	x_ge_1e13	1	78	0.574570802	4.34808433	-3.40924948
23	10	x_ge_1e13	3	78	0.797054295	3.16616568	-0.252613224
23	10	x_ge_1e13	10	78	0.917936463	2.1145959	-4.39821006
23	10	x_ge_1e13	25	78	0.95222298	1.61962187	-2.25471559
23	10	top_decade	1	53	0.596265342	3.47240136	-3.40924948
23	10	top_decade	3	53	0.645756745	3.28880279	-0.252613224
23	10	top_decade	10	53	0.8884123	1.9802064	-4.39821006
23	10	top_decade	25	53	0.923765317	1.65194701	-2.25471559
23	11	full	1	438	0.783273576	3.54942013	-3.80513699
23	11	full	3	438	0.878979856	2.72329663	-1.75846364
23	11	full	10	438	0.934053035	2.04947339	-3.30121825
23	11	full	25	438	0.962703348	1.56351198	-1.96833379
23	11	x_ge_1e10	1	234	0.748217695	3.56899715	-3.80513699
23	11	x_ge_1e10	3	234	0.867368104	2.67374947	-1.75846364
23	11	x_ge_1e10	10	234	0.92918568	1.98733274	-3.30121825
23	11	x_ge_1e10	25	234	0.96026928	1.50402523	-1.96833379
23	11	x_ge_1e13	1	78	0.717477644	3.90411446	-3.80513699
23	11	x_ge_1e13	3	78	0.861120145	2.79095438	-1.75846364
23	11	x_ge_1e13	10	78	0.915471676	2.2030497	-3.30121825
23	11	x_ge_1e13	25	78	0.944131292	1.80521922	-1.96833379
23	11	top_decade	1	53	0.436995778	3.44870007	-3.80513699
23	11	top_decade	3	53	0.628918948	2.84778857	-1.75846364
23	11	top_decade	10	53	0.810587214	2.14428123	-3.30121825
23	11	top_decade	25	53	0.855613758	1.89809561	-1.96833379
23	14	full	1	438	0.696902457	3.70722511	-4.48737807
23	14	full	3	438	0.858234848	2.65261696	-2.79388652
23	14	full	10	438	0.924816563	1.98009501	-4.96945618
23	14	full	25	438	0.961940848	1.43635843	-2.44192511
23	14	x_ge_1e10	1	234	0.54926976	4.26295116	-4.48737807
23	14	x_ge_1e10	3	234	0.842192218	2.74006333	-2.79388652
23	14	x_ge_1e10	10	234	0.912952115	2.08090621	-4.96945618
23	14	x_ge_1e10	25	234	0.961880215	1.40017417	-2.44192511
23	14	x_ge_1e13	1	78	0.464577491	4.36511536	-4.48737807
23	14	x_ge_1e13	3	78	0.787484495	2.99773992	-2.79388652
23	14	x_ge_1e13	10	78	0.888516785	2.23472407	-4.96945618
23	14	x_ge_1e13	25	78	0.946406315	1.57136932	-2.44192511
23	14	top_decade	1	53	0.389859075	4.22113555	-4.48737807
23	14	top_decade	3	53	0.71298662	3.21472556	-2.79388652
23	14	top_decade	10	53	0.878735849	2.16987307	-4.96945618
23	14	top_decade	25	53	0.921484767	1.76685171	-2.44192511
23	15	full	1	438	0.711156338	3.42855435	-4.35637983
23	15	full	3	438	0.859076492	2.49617695	-1.1999063
23	15	full	10	438	0.916621227	1.95702424	-2.56140094
23	15	full	25	438	0.957015239	1.42830554	-1.09579401
23	15	x_ge_1e10	1	234	0.643734973	3.52456047	-4.35637983
23	15	x_ge_1e10	3	234	0.849799649	2.42928077	-1.1999063
23	15	x_ge_1e10	10	234	0.908107484	1.93174827	-2.56140094
23	15	x_ge_1e10	25	234	0.951864016	1.41639797	-1.09579401
23	15	x_ge_1e13	1	78	0.586107562	3.77593732	-4.35637983
23	15	x_ge_1e13	3	78	0.862962044	2.32664702	-1.1999063
23	15	x_ge_1e13	10	78	0.909650599	1.9158246	-2.56140094
23	15	x_ge_1e13	25	78	0.939237934	1.58260225	-1.09579401
23	15	top_decade	1	53	0.368699781	2.81901932	-4.35637983
23	15	top_decade	3	53	0.719917139	2.15208769	-1.1999063
23	15	top_decade	10	53	0.771548338	1.93317472	-2.56140094
23	15	top_decade	25	53	0.846576274	1.6108673	-1.09579401
23	17	full	1	438	0.820143773	3.67094525	-2.86037878
23	17	full	3	438	0.917077958	2.56311074	0.367384599
23	17	full	10	438	0.951795026	1.98003799	-0.194414077
23	17	full	25	438	0.974300212	1.46568565	-0.422994963
23	17	x_ge_1e10	1	234	0.693229892	4.08865779	-2.86037878
23	17	x_ge_1e10	3	234	0.8883114	2.59172245	0.367384599
