q	x	a	E_observed	E_K1	E_K3	E_K10	E_K25
11	4147178015404	2	-0.225270068123	-0.50039947631	-0.208171300055	-0.208439332304	0.410653980771
11	4342560604319	2	0.416967462417	-1.29992799851	-1.21963595621	-0.392070729448	-0.0986587804299
11	4547148092543	2	-3.72519031775	-2.04228159721	-2.22429248464	-0.857525705882	-1.41747965308
11	4761374142932	2	-0.808432390891	-2.71041428902	-3.16580652191	-1.94553433165	-2.11321360844
11	4985692849142	2	-4.24513860158	-3.29005976714	-3.98515263543	-3.57161711572	-2.94753223475
11	5220579698171	2	-4.51726299839	-3.77013600072	-4.62679324616	-5.27392209959	-5.22335057773
11	5466532578244	2	-7.61409634455	-4.14301119868	-5.04541067257	-6.49023466303	-7.34552946871
11	5724072834185	2	-5.1011123717	-4.40462437063	-5.21233204307	-6.84140395823	-6.77954516106
11	5993746372511	2	-4.4262164726	-4.55446040339	-5.12066628346	-6.26210009109	-5.07659619795
11	6276124818579	2	-3.60345768557	-4.59538606928	-4.78820272705	-4.97726468668	-5.15653485037
11	6571806728266	2	-4.99093604125	-4.53335938681	-4.25732556415	-3.40664553063	-4.86081222418
11	6881418856717	2	-0.841525885459	-4.37702999191	-3.59156842265	-2.04312129145	-1.70779640446
11	7205617486879	2	0.879134273891	-4.13725242105	-2.86892489132	-1.29192765178	0.167770984377
11	7545089820617	2	-1.19942675608	-3.82653728261	-2.17256939435	-1.28517987469	-1.82913883719
11	7900555435372	2	-1.71121858614	-3.45846709022	-1.58013533066	-1.77777764278	-2.83296851836
11	8272767809448	2	-0.808997431376	-3.04710400627	-1.15304854139	-2.25470715731	-1.51906658334
11	8662515919149	2	-0.722782946395	-2.60641591784	-0.927545316117	-2.25088455649	-1.97353352412
11	9070625911176	2	-2.43840070221	-2.14974522718	-0.908870256989	-1.68702009864	-2.45544343356
11	9497962853795	2	-1.10767933461	-1.68934162583	-1.06975062524	-0.952623833484	-0.37211602138
11	9945432570527	2	0.119384638797	-1.2359761291	-1.35362940624	-0.62977999273	-0.0870934822805
11	10000000000000	2	-0.183542587579	-1.18300110467	-1.39203638836	-0.639137390118	-0.298767069777
11	10413983560209	2	-2.03870068719	-0.798649001815	-1.68240152571	-1.04055473428	-2.11012350174
11	10904609007526	2	-3.16073683328	-0.384399161704	-1.96765743173	-1.96757424867	-2.08857402313
11	11418348888254	2	-2.34142838637	0.00178253438969	-2.12382452037	-2.77836134043	-1.91032668255
11	11956292173695	2	-4.17252288654	0.356938772242	-2.08122293667	-2.86470456596	-3.15167593705
11	12519579138962	2	-2.02575338094	0.680037368186	-1.79699415065	-2.05692586834	-2.11991101549
11	13000000000000	2	0.446128545741	0.92092481683	-1.37742134822	-0.963586622035	-0.403860693574
11	13109403780009	2	0.323174922841	0.971780403092	-1.26214146636	-0.702501916354	-0.206343501116
11	13727016344541	2	-1.56330456829	1.23434568016	-0.503505023649	0.622817972834	-0.203939209366
11	14373725982157	2	1.8514584311	1.47107772585	0.419711209492	1.51850694312	0.997559058304
11	15050903519343	2	2.45771180768	1.68614701692	1.42436764238	1.96704795738	3.14558017326
11	15759984365207	2	2.36845779222	1.88419657449	2.41547252545	2.22939138873	2.79034474423
