x,split,A_minus_1_binary64,A_minus_1_decimal80,binary_decimal_sign_agree,mertens_x
520000,discovery,-119.62370159986126,-119.62370159986127305997309612649115682189274927805650837296411215602925566126948,True,-132
530000,discovery,-124.96765385792067,-124.96765385792067268735336725631132147045031628189171813612019982948638557899295,True,-125
540000,discovery,-74.967796060959074,-74.967796060959078987190481608340703698432560313614842930435550263762778571748701,True,-52
550000,discovery,-11.60553798863452,-11.605537988634525302809403503583581892643247788536140469964937669506026001161931,True,4
560000,discovery,-9.541225541941353,-9.5412255419413593805974242401711655169315032018812895341078095827501274014396525,True,-9
570000,discovery,29.175981302435922,29.175981302435917214678613144927276626386962874851904641726361527488268335246370,True,30
580000,discovery,-40.227937237196876,-40.227937237196885361176859170470188123792717122486461042220282791631030863306498,True,-58
590000,discovery,-106.81966511414784,-106.81966511414785253348010974842385000516485788858507161975402426065462459280400,True,-151
600000,discovery,-135.45455513697095,-135.45455513697095933631743859205805496557875201064902008597871221945711319720983,True,-230
610000,discovery,-154.49961911018178,-154.49961911018178186025498585507893429264949357121238306385287681738888592905658,True,-224
620000,discovery,-151.54251593578601,-151.54251593578602257183372287435060979257691627420307907916504428437799968992628,True,-202
630000,discovery,-35.535581010776944,-35.535581010776952733168826323495661978666802019724757478579995815660135012874078,True,-55
640000,discovery,40.196125943078854,40.196125943078845195350617422151774139573299374048574815609458266160980859931520,True,50
650000,discovery,55.286649167364587,55.286649167364575820469511827551471673351956675338193396263703068806987272761594,True,136
660000,discovery,87.382119665138504,87.382119665138489648432916270514133472111514258675419845485364675283875290438957,True,164
670000,discovery,108.05061334361586,108.05061334361585636447122479722775286746481286630800077902779450374920379732280,True,215
680000,discovery,58.089813854904079,58.089813854904073256993193473614506809669843832931446834789727596005675271524113,True,158
690000,discovery,50.720129016453406,50.720129016453396905739118992850623158057900676262140192703738344638697119642432,True,192
700000,discovery,85.234152956107025,85.234152956107012297760485538805199812829498295904021783466096392602692376479014,True,226
710000,discovery,11.349130052613132,11.349130052613118738119091627912012742396700039963996265666368509047150777117665,True,147
720000,discovery,44.005139616513119,44.005139616513106321320661824812507920774782991370643394948122634020070512511862,True,141
730000,discovery,-46.584335017039287,-46.584335017039302395219627620172041825969487950899006053125837857585586414779863,True,10
740000,discovery,-31.760625881031604,-31.760625881031621759705693550306012109343541720730273999819254569491399328438265,True,32
750000,discovery,92.563234098020558,92.563234098020538868425955572154864261309104404922414863138247205260547806637165,True,132
760000,discovery,74.175292334742252,74.175292334742234488385687790325519367991240573671755115658398903658199077520425,True,96
770000,discovery,21.197226766085418,21.197226766085412223756029735385527923192527342598437220947241460652021969282269,True,71
780000,discovery,-17.577025030178049,-17.577025030178058789905013719254162552508449215279553071861605161916824354786782,True,-13
790000,discovery,-33.1790048728176,-33.179004872817612581467639474143717328708456467636213941782460680446772358198137,True,-3
800000,discovery,-38.077454089285119,-38.077454089285131921179625813541985494358630391612796689998317988403840174298086,True,-20
810000,discovery,-61.03874803901698,-61.038748039016983663589932067265367385261182003510168291653982918755932513803800,True,-61
820000,discovery,-69.408580111733343,-69.408580111733339308278227401274609185543286365846885658445695176315194858247350,True,-95
830000,discovery,-110.07196851447426,-110.07196851447426725504323461551064309124390717861951839160432569859693577693828,True,-153
840000,discovery,-103.57168743715052,-103.57168743715051288796554979434188779139765679126191409785770161649153832231458,True,-158
