p,M,M_over_sqrtp,A_raw,B_raw,C_raw,N_raw,NA,CA,BA,margin,deltaW_sign
33623,-21,-0.114525,4.5838790651e+08,1.8446673600e+09,5.7226287378e+07,4.5225724316e+08,0.9866255997,0.1248424894,4.0242496230,4.1357177122,-1
33757,-26,-0.141511,4.6187990986e+08,1.9174827003e+09,5.7708367242e+07,4.5497163974e+08,0.9850431466,0.1249423627,4.1514745702,4.2614600795,-1
33863,-23,-0.124987,4.6633056623e+08,2.0633207485e+09,5.8052157417e+07,4.5925956249e+08,0.9848369285,0.1244871377,4.4245882597,4.5339123258,-1
34019,-24,-0.130122,4.7169440865e+08,1.9584696321e+09,5.8565120901e+07,4.6448207377e+08,0.9847097300,0.1241590314,4.1519882283,4.2608569897,-1
34159,-29,-0.156908,4.7483676054e+08,2.0516526202e+09,5.9068819776e+07,4.6781352706e+08,0.9852091623,0.1243981610,4.3207535531,4.4303608763,-1
34283,-25,-0.135021,4.7938368397e+08,1.9412287552e+09,5.9507433829e+07,4.7075933955e+08,0.9820095162,0.1241332065,4.0494260029,4.1555687256,-1
34381,-24,-0.129435,4.8331833910e+08,2.0273175657e+09,5.9874775359e+07,4.7366421103e+08,0.9800253222,0.1238826887,4.1945802625,4.2984882735,-1
34511,-29,-0.156106,4.8548152217e+08,2.1717784113e+09,6.0310542796e+07,4.7652028274e+08,0.9815415438,0.1242282971,4.4734522574,4.5792220983,-1
34631,-32,-0.171956,4.8928672139e+08,2.3669643124e+09,6.0705694499e+07,4.8115463192e+08,0.9833797054,0.1240697772,4.8375813381,4.9450308207,-1
34747,-38,-0.203857,4.9362679626e+08,2.6399986407e+09,6.1119796367e+07,4.8542404727e+08,0.9833826910,0.1238178252,5.3481671998,5.4553677160,-1
34877,-24,-0.128511,4.9438162034e+08,2.1109364001e+09,6.1585687897e+07,4.8651958604e+08,0.9840972359,0.1245711518,4.2698521005,4.3785204882,-1
35051,-10,-0.053413,4.9875991610e+08,1.3624557661e+09,6.2204436801e+07,4.9113735315e+08,0.9847169696,0.1247181957,2.7316865733,2.8411217386,-1
35141,-17,-0.090686,5.0281335193e+08,1.7596386357e+09,6.2536777454e+07,4.9372566609e+08,0.9819263235,0.1243737407,3.4995861366,3.6058862008,-1
35281,-19,-0.101154,5.0802319457e+08,1.5875375664e+09,6.3061568924e+07,4.9816342502e+08,0.9805918910,0.1241312790,3.1249312697,3.2296544397,-1
